시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
충남,충남 당진시,노인인구비율,8.71,9.17,9.55,9.68,9.81,10.21,10.70,11.35,12.22,13.10,13.92,14.80,15.40,15.53,15.72,15.63,15.96,16.03,15.68,15.53,15.68,15.75,15.95,16.26,16.47,16.95,17.28,17.92,18.85,19.46
전북,전북 전주시,총인구,538807,549152,558121,569804,582136,588885,599196,610566,620521,622283,624485,618819,622472,621749,624849,623926,631532,635007,641525,645894,648863,650082,652877,652282,651744,648964,651091,654394,657432,657269
전북,전북 전주시,노인인구비율,4.95,5.07,5.20,5.28,5.35,5.52,5.68,5.96,6.19,6.48,6.78,7.13,7.49,7.82,8.20,8.83,9.08,9.33,9.6,9.99,10.55,11.03,11.52,12.1,12.51,13.12,13.6,14.24,14.99,15.67
전북,전북 옥구군,총인구,69318,66810,65075,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 옥구군,노인인구비율,9.59,10.37,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 군산시,총인구,199943,204505,207696,275819,278069,280648,280666,279644,277491,276717,272007,268639,265168,263120,260989,260562,263845,266922,272601,275659,278341,278319,278098,278398,277551,274997,272645,270131,267859,265304
전북,전북 군산시,노인인구비율,4.89,4.99,5.15,6.69,6.89,7.15,7.49,7.70,8.08,8.47,8.93,9.41,9.92,10.33,10.91,11.64,11.91,12.11,12.31,12.67,13.21,13.68,14.22,14.84,15.42,16.21,16.84,17.79,18.93,19.87
전북,전북 이리시,총인구,,216655,222381,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 이리시,노인인구비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산군,총인구,106891,103810,101215,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산군,노인인구비율,9.69,10.34,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산시,총인구,209459,320465,323596,328152,328162,330310,333788,335277,334324,334757,330101,325238,322378,318506,315094,313590,309269,306669,307289,309804,306469,306539,304117,302061,300479,300187,294062,287771,282276,278113
전북,전북 익산시,노인인구비율,4.80,3.34,3.47,7.07,7.33,7.62,7.92,8.20,8.56,8.89,9.31,9.76,10.21,10.55,11.00,11.74,12.13,12.51,12.78,13.08,13.78,14.27,14.88,15.57,16.15,16.78,17.53,18.6,19.9,20.89
전북,전북 정주시,총인구,,71926,72135,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정주시,노인인구비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍군,총인구,87493,83994,80311,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍군,노인인구비율,11.72,12.69,13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍시,총인구,72343,71926,72135,151039,150224,150343,150505,151134,152022,151813,139133,155319,132285,129050,126249,124239,122842,121545,122000,120466,119392,118328,117183,115977,115173,113776,112169,110541,108508,106487
전북,전북 정읍시,노인인구비율,6.63,6.76,6.98,10.89,11.23,11.64,12.24,12.71,13.23,13.75,15.13,14.19,16.78,17.40,18.11,19.31,19.74,20.24,20.57,21.12,21.9,22.55,23.32,24.09,24.51,25.13,25.68,26.68,27.89,28.7
전북,전북 남원군,총인구,60288,57687,55182,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 남원군,노인인구비율,12.44,13.52,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 남원시,총인구,54133,54848,55156,109185,108274,107180,106300,104544,103571,103977,100392,101950,96243,93670,91265,89247,88356,87675,87775,87455,87000,86460,85643,84856,84188,83281,82554,81441,80662,79431
전북,전북 남원시,노인인구비율,6.08,6.35,6.52,10.80,11.19,11.69,12.20,12.87,13.57,13.94,14.95,15.40,16.63,17.37,18.27,19.62,20.12,20.44,20.62,21.1,21.98,22.68,23.36,24.12,24.6,25.42,25.98,27.07,28.13,29.24
전북,전북 김제군,총인구,91944,88220,82788,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 김제군,노인인구비율,10.86,11.73,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 김제시,총인구,46960,46999,47350,128415,125582,122761,121636,118563,115865,115244,110989,110710,105195,102720,100238,97615,95807,94770,94346,93111,92317,91218,90108,88721,87782,86926,85331,83895,82450,80913
전북,전북 김제시,노인인구비율,7.63,8.00,8.32,11.62,12.13,12.88,13.60,14.32,15.25,15.88,16.89,17.45,18.78,19.52,20.49,21.88,22.56,23.16,23.67,24.28,25.23,25.86,26.68,27.64,28.31,28.94,29.6,30.57,31.92,33.1
전북,전북 완주군,총인구,89426,87522,85917,86461,85354,86055,86138,85540,84009,86719,84626,83649,82482,83651,83199,82972,83757,83885,85119,84660,86164,86978,90377,95303,95480,95975,94444,92220,91609,91142
전북,전북 완주군,노인인구비율,9.35,9.93,10.42,10.62,10.98,11.33,11.69,12.24,13.13,13.29,14.11,14.91,15.65,15.82,16.37,17.57,17.82,18.03,18.11,18.56,18.91,19.3,19.29,19.23,19.7,20.19,20.94,22.16,23.37,24.35
전북,전북 진안군,총인구,46102,44158,42142,40086,38077,35973,34635,33645,31273,32635,30439,30475,30757,29021,27122,30250,27230,27558,27543,28473,26963,26703,26474,26203,26069,26271,25963,25697,25394,24987
전북,전북 진안군,노인인구비율,11.11,11.94,12.78,13.52,14.32,15.29,16.28,17.02,18.19,18.59,20.38,21.15,21.55,23.31,25.43,24.26,26.78,26.88,27.4,26.84,28.69,29.48,30.2,30.95,31.2,31.63,32.49,33.52,35.04,36.23
전북,전북 무주군,총인구,35219,33960,33097,32293,31511,30835,30580,31776,29207,30333,27894,26716,26183,25876,25417,26361,26017,25811,25578,25863,25321,25398,25390,25220,24949,24809,24589,24303,24036,23748
전북,전북 무주군,노인인구비율,10.60,11.44,12.09,12.87,13.51,14.47,15.17,15.46,17.30,17.53,19.58,21.11,22.22,23.15,24.46,25.03,25.57,26.06,26.68,26.88,27.84,28.26,28.53,29.5,30.17,31.04,31.38,32.47,33.6,34.33
전북,전북 장수군,총인구,35446,33714,32650,31485,30632,29770,30513,30159,30051,30445,26349,29445,26788,24755,24209,26687,23864,23478,23386,23215,23191,23243,23335,23277,23628,23003,23221,22441,22085,21695
전북,전북 장수군,노인인구비율,10.84,11.85,12.28,13.09,13.80,14.69,15.10,15.92,16.80,17.32,20.19,18.78,21.26,23.52,24.70,23.45,26.29,26.96,27.1,27.4,28,28.57,28.71,29.35,29.52,30.91,31,32.55,34.22,35.57
전북,전북 임실군,총인구,50234,47953,46055,44612,42984,41326,40519,39265,37514,37439,35071,34283,33008,32511,31976,31952,31133,30703,30593,30789,29956,29739,29966,30271,30197,30162,30072,28902,27314,26730
전북,전북 임실군,노인인구비율,11.47,12.36,13.01,13.70,14.64,15.54,16.28,17.17,18.62,19.55,21.41,22.69,24.38,25.06,26.18,27.33,28.11,28.51,28.94,29.04,30.39,31,31.21,31.48,31.63,32.06,32.49,34.01,36.44,37.8
전북,전북 순창군,총인구,44828,42824,40965,39728,38638,37553,36832,35793,34587,33892,32329,31482,31814,32012,32485,32035,30920,30179,30209,29497,30055,30272,30368,30248,29949,29698,29209,28382,27810,26855
전북,전북 순창군,노인인구비율,12.27,13.37,13.96,14.49,15.23,15.97,16.74,17.91,19.15,20.32,21.82,23.01,23.61,24.27,24.93,26.47,27.4,28.15,28.4,29.12,29.39,29.81,30.16,30.36,30.7,31.27,31.77,32.81,34,35.3
전북,전북 고창군,총인구,95836,91825,87979,85173,82568,79723,78587,76099,74104,74286,69657,69639,65203,63676,62030,60962,60328,60102,60861,60065,60440,60522,60090,60046,60597,60472,57041,55504,54529,53386
전북,전북 고창군,노인인구비율,10.05,10.70,11.46,12.25,12.93,13.90,14.55,15.50,16.67,17.19,18.82,19.52,21.42,22.54,23.66,25.19,25.85,26.41,26.48,27.05,27.56,27.99,28.92,29.4,29.47,30.01,31.69,33.1,34.44,35.67
전북,전북 부안군,총인구,92784,89456,86684,84350,82134,80244,79355,77502,74716,75914,70374,68066,66766,65018,63243,61879,60872,60204,60138,59080,58869,59164,57534,56848,57005,56086,54441,53295,52140,50795
전북,전북 부안군,노인인구비율,9.51,10.33,11.05,11.75,12.36,13.14,13.96,14.72,15.76,16.22,17.81,18.85,19.89,20.72,21.67,23.02,23.61,24.22,24.59,25.34,26.21,26.49,27.74,28.53,28.89,29.74,30.56,31.87,33.32,34.47
전남,전남 목포시,총인구,224670,227030,231407,239423,245152,249764,248568,246381,245492,245344,244909,241460,241717,242988,241679,243312,245651,244339,245422,244871,245073,240936,239109,238382,237739,234379,232327,229861,224044,218589
전남,전남 목포시,노인인구비율,4.65,4.80,4.99,5.09,5.21,5.34,5.56,5.85,6.14,6.35,6.66,7.07,7.46,7.90,8.38,9.00,9.27,9.71,10.24,10.73,11.32,12,12.62,13.09,13.65,14.44,14.99,15.7,16.88,17.87
전남,전남 여천군,총인구,74276,71555,68483,65724,63182,61246,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 여천군,노인인구비율,9.71,10.29,11.13,12.16,13.03,13.91,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 여천시,총인구,73629,73836,74795,77864,80381,80909,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 여천시,노인인구비율,4.05,4.11,4.24,4.30,4.37,4.53,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 여수시,총인구,185151,185356,185897,185551,187074,188312,329409,326666,323913,320146,315536,310350,305312,301389,297489,295439,295133,293546,293488,292750,292217,291366,290900,290168,288988,286382,283300,282786,280242,276762
전남,전남 여수시,노인인구비율,4.45,4.59,4.82,5.01,5.19,5.38,7.01,7.31,7.68,8.09,8.50,8.98,9.52,10.08,10.66,11.36,11.74,12.11,12.47,12.92,13.58,14.2,14.86,15.51,16.14,16.96,17.51,18.39,19.48,20.36
전남,전남 승주군,총인구,77050,75316,73071,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 승주군,노인인구비율,10.57,11.23,12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 순천시,총인구,155466,160931,168818,251156,257636,264425,266553,267883,270345,271734,271139,269843,270059,270934,269940,270380,269429,269516,272620,272201,273798,275668,277188,278765,278548,279331,279389,279598,282189,281436
전남,전남 순천시,노인인구비율,4.67,4.73,4.78,7.05,7.17,7.25,7.48,7.79,8.10,8.38,8.74,9.10,9.51,9.87,10.25,10.74,11.09,11.27,11.45,11.69,12.09,12.42,12.84,13.2,13.63,14.14,14.51,15.12,15.75,16.37
전남,전남 나주군,총인구,85669,82635,79992,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 나주군,노인인구비율,11.24,12.04,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 나주시,총인구,37937,38119,38085,116179,114834,112393,111719,110148,108459,105832,102825,101708,99308,97980,96417,95439,92884,90875,90118,88243,88067,87754,90669,98182,104376,110110,113839,114664,115613,116726
전남,전남 나주시,노인인구비율,7.98,8.37,8.79,12.28,12.72,13.35,13.83,14.43,15.25,16.05,17.13,17.94,18.79,19.58,20.52,21.64,22.3,23.02,23.6,24.12,24.45,24.83,24.66,23.38,22.5,21.96,21.66,22.03,22.48,22.91
전남,전남 동광양시,총인구,55326,56726,59147,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 동광양시,노인인구비율,2.78,2.83,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 광양군,총인구,72994,70063,68588,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 광양군,노인인구비율,7.10,7.69,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
전남,전남 광양시,총인구,,,,129111,131191,132288,136728,138083,137940,138238,137913,136484,137601,138098,138237,138865,141388,143461,145512,150725,150837,151621,152097,153587,155580,155857,156564,156750,151769,150531
전남,전남 광양시,노인인구비율,,,,5.82,6.01,6.19,6.21,6.41,6.69,7.04,7.36,7.75,8.06,8.36,8.70,9.09,9.22,9.3,9.36,9.3,9.65,9.94,10.29,10.66,10.94,11.36,11.7,12.31,13.3,13.95
전남,전남 담양군,총인구,65247,63721,62080,61174,59907,58600,57797,56536,55089,53268,51535,50933,50613,50364,50332,50441,48347,47286,47808,47819,47612,47365,47177,47009,47229,47285,46917,46535,46280,46180
전남,전남 담양군,노인인구비율,10.90,11.57,12.22,12.66,13.02,13.54,14.15,14.82,15.68,16.71,17.82,18.67,19.58,20.32,21.18,22.44,23.94,24.64,24.94,25.2,26.05,26.75,27.44,28.1,28.22,28.81,29.45,30,31.19,31.75
전남,전남 곡성군,총인구,46102,44133,42628,41759,40788,41236,40809,41609,41149,38767,36754,35297,34396,34157,33631,33311,32608,32084,31886,31332,30878,31009,30732,30672,30400,30131,29624,28887,28039,27535
전남,전남 곡성군,노인인구비율,12.42,13.28,14.02,14.96,15.76,16.11,16.81,17.14,18.09,19.94,21.61,23.30,24.55,25.15,26.12,27.32,27.99,28.75,29.1,29.91,30.97,31.07,31.83,32.15,32.61,33.3,33.85,34.91,36.32,37.16
전남,전남 구례군,총인구,39736,38403,37223,36432,35822,35032,34949,34242,33588,32948,31755,30509,30232,29577,28837,28203,27703,27518,27375,27422,27077,27115,27170,27308,27412,27525,27117,26563,25719,25235
전남,전남 구례군,노인인구비율,10.72,11.61,12.35,13.10,13.54,14.28,14.86,15.60,16.51,17.40,18.82,20.28,21.32,22.45,23.81,25.48,26.25,26.85,27.44,27.76,28.75,29.21,29.43,29.73,30.1,30.69,31.38,32.66,34.53,35.54
전남,전남 고흥군,총인구,126906,121851,117067,112384,108128,104470,103256,102542,100989,95864,92715,91518,86747,83830,81068,78589,76605,75127,73924,72607,71560,70631,69641,68601,67656,66736,65777,64913,63922,62762
전남,전남 고흥군,노인인구비율,11.35,12.24,13.33,14.40,15.31,16.44,17.31,17.95,18.93,20.45,22.07,23.00,24.88,26.33,27.80,29.77,30.62,31.36,31.99,32.65,33.79,34.62,35.68,36.59,37.49,38.2,38.87,39.75,41.14,42.23
전남,전남 보성군,총인구,78940,75556,72685,70039,67664,65253,64445,63047,61329,59417,57282,55983,54288,53145,51948,50921,50004,49048,48792,47894,47050,46385,45882,45349,44469,43755,42803,41420,40482,39375
전남,전남 보성군,노인인구비율,11.27,12.04,12.93,13.92,14.84,15.92,16.74,17.73,18.78,20.00,21.52,22.87,24.26,25.35,26.45,27.83,28.59,29.19,29.54,30.15,31.19,31.95,32.88,33.48,34.34,35.29,35.92,37.25,38.54,39.91
전남,전남 화순군,총인구,73102,71414,70228,70736,73443,73698,76299,78042,78610,79219,78443,76123,75023,73673,72615,71551,70327,69675,69368,68985,68378,67829,66772,65848,65303,64680,63933,62737,62522,62624
전남,전남 화순군,노인인구비율,9.98,10.61,11.11,11.63,11.53,11.81,11.97,12.11,12.52,13.13,13.86,14.83,15.70,16.58,17.46,18.75,19.47,19.99,20.39,20.79,21.44,22.04,22.74,23.4,23.76,24.47,25.02,25.96,26.86,27.52
전남,전남 장흥군,총인구,66804,63968,61777,60112,58867,57500,56894,55533,53392,51738,50232,47837,46568,45542,44451,43468,42783,42097,42394,42552,42672,43004,43190,43513,40669,40136,39312,38563,37800,36547
전남,전남 장흥군,노인인구비율,10.76,11.57,12.44,13.41,14.08,15.06,15.74,16.75,17.86,19.07,20.29,21.81,23.12,24.17,25.37,26.67,27.26,27.86,28.15,28.17,28.62,28.7,28.96,29.05,31.01,31.6,32.08,32.98,34.2,35.63
전남,전남 강진군,총인구,60381,58301,56431,55042,53488,52188,51739,51207,49254,50846,46381,44743,43550,42696,41938,41352,41153,41164,41624,41599,40241,40079,39861,38758,37753,36868,36144,35286,34597,33753
전남,전남 강진군,노인인구비율,10.63,11.38,12.10,12.92,13.67,14.60,15.35,16.01,17.13,17.36,19.61,21.11,22.53,23.73,24.70,26.02,26.38,26.7,26.68,26.88,28.17,28.65,29.01,30.07,30.87,31.93,32.72,33.68,34.79,35.94
전남,전남 해남군,총인구,115303,111754,107932,104628,101578,99329,101758,100792,99230,96445,92323,89981,87736,86238,84338,82529,81043,81148,79579,78346,78150,77684,76981,76194,75121,73604,71901,70354,68806,67166
전남,전남 해남군,노인인구비율,9.39,10.01,10.72,11.60,12.34,13.15,13.59,14.32,15.13,16.24,17.51,18.60,19.69,20.81,21.90,23.44,24.23,24.47,25.25,25.81,26.35,26.9,27.49,28.04,28.69,29.7,30.33,31.21,32.4,33.59
전남,전남 영암군,총인구,68698,66050,63386,62388,64214,63761,65869,66018,65268,64391,64637,63267,62336,62004,61546,60742,60106,59837,60082,60139,59997,59061,58852,58137,57045,55616,54731,54593,53699,52937
전남,전남 영암군,노인인구비율,9.77,10.49,11.35,12.00,12.13,12.68,12.90,13.47,14.31,15.28,15.61,16.56,17.43,18.22,18.90,19.83,20.27,20.63,20.93,21.16,21.66,22.16,22.62,23.15,23.8,24.77,25.28,25.78,26.82,27.67
전남,전남 무안군,총인구,82162,79378,77093,75037,73076,71804,71334,71164,70212,68904,65976,63681,62472,61915,61766,63674,66598,72417,74475,75718,75741,79367,81696,82236,82109,82872,81991,81105,86132,91107
전남,전남 무안군,노인인구비율,8.67,9.38,10.21,10.94,11.46,12.08,12.69,13.36,14.12,14.87,16.07,17.17,18.30,19.21,20.02,20.67,20.18,19.17,19.08,19.13,19.59,19.23,19.09,19.3,19.7,19.87,20.24,20.79,20.35,19.74
전남,전남 함평군,총인구,58212,55676,52803,51686,49682,48237,50854,46830,45232,43522,41965,42119,40205,40189,38647,37998,37432,37089,36702,36134,35780,35610,35090,34876,34397,34328,33420,32861,32050,31274
전남,전남 함평군,노인인구비율,11.00,11.87,13.02,13.76,14.57,15.54,15.42,17.10,18.39,19.67,21.04,21.91,23.69,24.55,26.05,27.64,28.24,28.88,29.49,30.1,30.96,31.21,32.01,32.29,32.86,33.35,34.17,35.19,36.57,37.95
전남,전남 영광군,총인구,86731,83647,78921,76116,74276,74724,75658,74760,72780,70120,67055,64148,62959,61500,60045,58837,58075,57037,57362,56863,57224,57617,56833,56267,55618,54774,54127,53852,53099,51985
전남,전남 영광군,노인인구비율,8.65,9.24,10.13,10.76,11.16,11.40,11.76,12.27,13.35,14.32,15.51,16.90,17.96,18.83,19.91,21.44,22.26,22.93,23.22,23.82,24.4,24.64,25.5,26.14,26.56,27.39,27.8,28.21,29.17,30.09
전남,전남 장성군,총인구,61339,58838,57327,58898,58321,57664,56992,56462,55986,54687,52542,51493,50200,49165,47870,47410,46602,46214,46514,46245,46289,46292,46273,46360,46104,46111,45795,45739,44464,43365
전남,전남 장성군,노인인구비율,10.44,11.23,11.85,11.96,12.31,12.79,13.44,14.14,15.17,16.13,17.45,18.45,19.43,20.38,21.53,22.73,23.39,24.05,24.3,24.81,25.49,26.02,26.5,26.84,27.21,27.77,28.25,28.57,30.14,31.21
전남,전남 완도군,총인구,82564,79255,76216,74015,71374,69409,68915,68833,66978,65397,62964,61145,59950,58841,57464,56201,54999,54301,54269,54037,53871,53619,53174,53014,52668,52109,51477,50689,49916,48631
전남,전남 완도군,노인인구비율,8.38,8.97,9.66,10.49,11.23,12.15,12.92,13.66,14.62,15.66,17.04,18.42,19.75,21.23,22.61,24.23,25.1,25.95,26.4,26.76,27.38,27.93,28.68,28.99,29.66,30.24,30.57,31.41,32.54,33.83
전남,전남 진도군,총인구,52890,50659,48683,47256,45500,44256,43865,43362,42229,41139,39619,38382,37329,36529,35953,35206,34412,33931,33743,33502,33208,32998,32746,32476,32078,31765,31219,30715,31227,30066
전남,전남 진도군,노인인구비율,9.22,10.00,10.85,11.84,12.66,13.54,14.30,15.29,16.46,17.62,18.89,20.42,21.71,23.28,24.69,26.44,27.2,27.83,28.47,28.86,29.5,29.97,30.39,31.15,31.5,32.08,32.39,32.83,33.06,34.61
전남,전남 신안군,총인구,75823,71175,66628,62854,59628,56855,56614,54953,53150,51342,49704,50726,47591,46451,46714,45968,45718,45294,45428,44355,43898,44162,43747,43294,42652,42070,41263,40274,38938,38217
전남,전남 신안군,노인인구비율,8.99,9.76,10.68,11.83,12.66,13.87,14.52,15.88,17.17,18.47,20.21,20.81,23.12,24.59,25.54,27.07,27.58,27.94,28.31,29.26,30.27,30.43,31.15,31.73,32.38,33.33,33.83,34.94,36.7,37.71
경북,경북 영일군,총인구,181350,181513,179674,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 영일군,노인인구비율,7.29,7.57,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 포항시,총인구,318494,322163,327042,510167,511409,511675,512001,513390,515977,515039,511667,508850,507129,507052,505008,505555,508119,509475,514755,517088,518913,519467,519368,519584,516775,513832,510013,507025,502916,503852
경북,경북 포항시,노인인구비율,3.23,3.29,3.35,5.12,5.28,5.48,5.70,5.96,6.20,6.50,6.84,7.19,7.62,7.98,8.39,8.91,9.33,9.69,9.91,10.18,10.72,11.31,11.96,12.55,13.22,14.2,15.1,16.17,17.49,18.55
경북,경북 경주군,총인구,132372,132803,132426,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 경주군,노인인구비율,9.98,10.32,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 경주시,총인구,140310,145216,147733,283766,288319,291146,291414,291614,290149,287506,284589,281177,277870,275087,273419,272206,269343,267466,267098,265488,264091,263283,261535,259773,259452,257903,256864,255402,253502,251889
경북,경북 경주시,노인인구비율,5.76,5.88,6.03,8.35,8.51,8.84,9.26,9.63,10.01,10.54,11.08,11.63,12.21,12.77,13.26,14.02,14.59,15.03,15.4,15.7,16.28,16.9,17.63,18.22,18.8,19.69,20.44,21.39,22.61,23.68
경북,경북 금릉군,총인구,73479,71398,69461,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 금릉군,노인인구비율,12.07,12.93,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 김천시,총인구,82474,83338,84169,151641,150818,150366,150144,151459,149864,150858,146666,150306,143527,141632,139682,139084,138056,135918,136136,136185,135504,135259,135456,140132,142256,142908,141104,141229,140548,140239
경북,경북 김천시,노인인구비율,5.70,5.86,5.99,9.87,10.25,10.72,11.14,11.50,12.13,12.68,13.43,13.70,14.72,15.31,15.94,16.62,17.22,17.85,18.03,18.28,18.89,19.51,20.03,19.87,20.03,20.67,21.49,22.13,23.14,24.01
경북,경북 안동군,총인구,81846,78041,74286,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 안동군,노인인구비율,13.03,13.10,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 안동시,총인구,115763,117779,119924,192522,191167,188459,187515,186188,183903,181838,179326,175677,174037,171387,168733,167916,167300,167432,167886,168157,168302,168461,168697,169221,168798,166272,162180,160052,158907,156972
경북,경북 안동시,노인인구비율,6.16,6.42,6.48,9.95,10.28,10.76,11.14,11.60,12.19,12.68,13.21,13.87,14.63,15.25,16.02,16.96,17.52,17.91,18.05,18.27,18.73,19.33,19.77,20.06,20.54,21.62,22.72,23.68,24.66,25.69
경북,경북 선산군,총인구,64674,64674,64588,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 선산군,노인인구비율,10.14,10.53,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
경북,경북 구미시,총인구,196816,210203,220187,302413,311437,321463,328659,335487,336914,344159,350011,355629,365681,374614,386465,391897,393959,396419,404920,413446,416949,419428,420320,419915,419891,421799,421494,419742,416328,412581
